2026-04-13 08:29:20,103 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 08:29:20,104 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 08:29:20,124 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 08:29:21,787 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-04-13 08:29:21,963 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 08:29:21,969 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 08:29:21,974 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 12:19:03,343 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 12:19:03,344 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 12:19:03,370 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 12:19:03,551 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 12:19:03,554 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 12:19:03,561 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 13:28:03,960 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 13:28:03,961 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 13:28:03,968 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 13:28:04,037 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 13:28:04,041 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 13:28:04,047 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 14:49:38,424 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 14:49:38,424 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 14:49:38,429 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 14:49:38,502 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 14:49:38,507 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 14:49:38,517 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 14:54:36,320 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 14:54:36,320 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 14:54:36,324 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 14:54:36,365 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 14:54:36,369 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 14:54:36,376 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 14:58:47,173 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 14:58:47,173 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
